idx,직무(업무명),업무세부내역,Analysis_name,Platfom,Pipeline Name,Pipeline Version,Group,Step,tools,version,CPUs,MEM(G),TIME(hr),nTask(병렬),SIZE(MB),USER,비고,instance_type,instance_vcpu,instance_hourly_rate,compute_cost_usd,storage_cost_usd,total_cost_usd
11,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,pharmcat_preprocess,python,3.9,2.0,4.0,0.2,1.0,1.0,,,c6i.large,2,0.085,0.017,2.170138888888889e-08,0.01700002170138889
12,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,run_pharmcat,pharmcat,2.15.4,2.0,4.0,0.2,1.0,2.0,,,c6i.large,2,0.085,0.017,4.340277777777778e-08,0.01700004340277778
13,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,tertiary,slivar_small_variant,slivar,0.3.1,8.0,16.0,0.2,1.0,19.0,,,c6i.2xlarge,8,0.34,0.068,4.1232638888888894e-07,0.0680004123263889
14,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,tertiary,svpack_filter_annotated,svpack,54b54db,2.0,16.0,0.2,1.0,1.0,,,c6i.2xlarge,8,0.34,0.068,2.170138888888889e-08,0.0680000217013889
15,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,tertiary,slivar_svpack_tsv,slivar,0.3.1,2.0,4.0,0.2,1.0,7.0,,,c6i.large,2,0.085,0.017,1.5190972222222226e-07,0.017000151909722223
16,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,tertiary,write_phrank,python,3.9,1.0,2.0,0.2,1.0,1.0,,,c6i.large,2,0.085,0.017,2.170138888888889e-08,0.01700002170138889
17,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,pbmm2_align_wgs,pbmm2,1.17.0,32.0,128.0,5.0,14.0,61094.0,,,c6i.16xlarge,64,2.72,190.40000000000003,0.033145616319444446,190.43314561631948
18,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,deepvariant_make_examples,deepvariant,1.9.0,8.0,32.0,4.0,8.0,16085.0,,,c6i.4xlarge,16,0.68,21.76,0.006981336805555556,21.766981336805557
19,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,bamTofastq,samtools,1.21,8.0,32.0,6.0,1.0,45510.0,,,c6i.4xlarge,16,0.68,4.08,0.02962890625,4.10962890625
20,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,fastqc,fastqc,v0.12.1,8.0,32.0,5.0,1.0,1.0,,,c6i.4xlarge,16,0.68,3.4000000000000004,5.425347222222222e-07,3.4000005425347224
21,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,nanostat,nanostat,1.6.0,8.0,32.0,5.0,1.0,1.0,,,c6i.4xlarge,16,0.68,3.4000000000000004,5.425347222222222e-07,3.4000005425347224
22,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,paraphase,paraphase,3.3.4,8.0,16.0,4.0,1.0,262.0,,,c6i.2xlarge,8,0.34,1.36,0.00011371527777777778,1.3601137152777778
23,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,mosdepth,mosdepth,0.3.9,4.0,8.0,3.0,1.0,34.0,,,c6i.xlarge,4,0.17,0.51,1.1067708333333334e-05,0.5100110677083334
24,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,mitorsaw,mitorsaw,0.2.4,4.0,32.0,3.0,1.0,1.0,,,c6i.4xlarge,16,0.68,2.04,3.255208333333334e-07,2.0400003255208334
25,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,samtools_stat,samtools,1.19.2,8.0,32.0,3.0,1.0,5.0,,,c6i.4xlarge,16,0.68,2.04,1.6276041666666668e-06,2.0400016276041666
26,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,merge_hifi_bams,samtools,1.20,8.0,16.0,3.0,1.0,60402.0,,,c6i.2xlarge,8,0.34,1.02,0.019662109375,1.039662109375
27,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,trgt,trgt,4.0.0,32.0,64.0,1.5,1.0,3605.0,,,c6i.8xlarge,32,1.36,2.04,0.0005867513020833333,2.0405867513020834
28,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,split_input_bam,"pindex
zmwfilter","3.5.0
3.5.0",16.0,32.0,1.2,1.0,60948.0,,,c6i.4xlarge,16,0.68,0.8160000000000001,0.0079359375,0.8239359375
29,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,sawfish_discover,sawfish,2.1.1,16.0,128.0,1.2,1.0,168.0,,,c6i.16xlarge,64,2.72,3.2640000000000002,2.1875e-05,3.264021875
30,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,deepvariant_call_variants_cpu,deepvariant,1.9.0,64.0,256.0,1.0,1.0,185.0,,,r6i.16xlarge,64,4.032,4.032,2.0073784722222223e-05,4.0320200737847225
31,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,deepvariant_postprocess_variants,deepvariant,1.9.0,2.0,72.0,0.6,1.0,694.0,,,c6i.12xlarge,48,2.04,1.224,4.5182291666666664e-05,1.2240451822916667
32,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,sawfish_call,sawfish,2.1.1,16.0,32.0,0.3,1.0,210.0,,,c6i.4xlarge,16,0.68,0.20400000000000001,6.8359375e-06,0.20400683593750002
33,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Inhouse,1.0.0,multiqc report,multiqc report,multiqc,1.30,1.0,1.0,0.1,1.0,1.0,,,c6i.large,2,0.085,0.0085,1.0850694444444445e-08,0.008500010850694444
34,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Inhouse,1.0.0,rmkinetic,remove_kinetic,python,3.11,8.0,64.0,4.0,1.0,61094.0,,,c6i.8xlarge,32,1.36,5.44,0.026516493055555555,5.466516493055556
35,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,Inhouse,1.0.0,Fastq_to_ubam,Fastq_to_ubam,"gatk FastqToSam
gatk MarkIlluminaAdapters",4.2.2.0,2.0,12.0,3.0,1.0,80000.0,이유빈,"WGS, 30x 기준",c6i.2xlarge,8,0.34,1.02,0.026041666666666668,1.0460416666666668
36,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,CollectQualityYieldMeterics,picard CollectQualityYieldMetrics,2.26.10,2.0,3.5,0.6,1.0,0.1,,,c6i.large,2,0.085,0.051000000000000004,6.510416666666667e-09,0.05100000651041667
37,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,SamSplitter,picard SplitSamByNumberOfReads,2.26.10,2.0,4.0,1.1,1.0,80400.0,,,c6i.large,2,0.085,0.09350000000000001,0.009596354166666668,0.10309635416666668
38,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,SamToFastqAndBwaMemAndMba,"picard SamToFastq
bwa mem
picard MergeBamAlignment","2.26.10
0.7.15
2.26.10",16.0,14.0,5.7,19.0,6000.0,,,c6i.4xlarge,16,0.68,73.644,0.0037109375000000003,73.64771093750001
39,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,GatherMonolithicBamFile,picard GatherBamFiles,2.26.10,2.0,3.0,0.5,1.0,98200.0,,,c6i.large,2,0.085,0.0425,0.005327690972222222,0.047827690972222225
40,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,CreateSequenceGroupingTSV,python,3.9,2.0,2.0,0.1,1.0,0.1,,,c6i.large,2,0.085,0.0085,1.0850694444444448e-09,0.008500001085069445
41,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,CollectUnsortedReadgroupBamQualityMetrics,picard CollectMultipleMetrics,2.26.10,2.0,7.0,1.7,1.0,0.1,,,c6i.xlarge,4,0.17,0.28900000000000003,1.844618055555556e-08,0.2890000184461806
42,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,MarkDuplicates,picard MarkDuplicates,2.26.10,2.0,7.5,2.5,1.0,108000.0,,,c6i.xlarge,4,0.17,0.42500000000000004,0.029296875,0.45429687500000004
43,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,SortSampleBam,picard SortSam,2.26.10,1.0,5.0,14.8,1.0,48100.0,,,c6i.xlarge,4,0.17,2.5160000000000005,0.07724392361111111,2.593243923611112
44,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,CrossCheckFingerprints,picard CrossCheckFingerprints,2.26.10,2.0,3.5,2.8,1.0,0.1,,,c6i.large,2,0.085,0.238,3.038194444444444e-08,0.23800003038194442
45,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,BaseRecalibrator,gatk BaseRecalibrator,4.3.0.0,2.0,6.0,2.9,18.0,0.1,,,c6i.xlarge,4,0.17,8.874,3.146701388888889e-08,8.874000031467014
46,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,CheckContamination,VerifyBamID,1.0.1,2.0,7.5,5.4,1.0,0.1,,,c6i.xlarge,4,0.17,0.9180000000000001,5.859375000000001e-08,0.9180000585937501
47,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,GatherBqsrReports,gatk GatherBQSRReports,4.3.0.0,2.0,3.5,0.1,1.0,0.1,,,c6i.large,2,0.085,0.0085,1.0850694444444448e-09,0.008500001085069445
48,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,ApplyBQSR,gatk ApplyBQSR,4.3.0.0,2.0,3.5,2.3,19.0,4000.0,,,c6i.large,2,0.085,3.7145,0.000998263888888889,3.715498263888889
49,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,UnmappedBamToAlignedBam,GatherBamFiles,picard GatherBamFiles,2.26.10,2.0,3.0,0.5,1.0,46000.0,,,c6i.large,2,0.085,0.0425,0.0024956597222222225,0.04499565972222223
50,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,AggregatedBamQC,CalculateReadGroupChecksum,picard CalculateReadGroupChecksum,2.26.10,2.0,6.0,0.7,1.0,0.1,,,c6i.xlarge,4,0.17,0.119,7.59548611111111e-09,0.11900000759548611
51,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,AggregatedBamQC,CollectReadgroupBamQualityMetrics,picard CollectMultipleMetrics,2.26.10,2.0,7.0,1.7,1.0,0.1,,,c6i.xlarge,4,0.17,0.28900000000000003,1.844618055555556e-08,0.2890000184461806
52,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,AggregatedBamQC,CollectAggregationMetrics,picard CollectMultipleMetrics,2.26.10,2.0,7.0,4.0,1.0,1.0,,,c6i.xlarge,4,0.17,0.68,4.340277777777778e-07,0.6800004340277779
53,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,BamToGvcf,ScatterIntervalList,picard IntervalListTools,2.26.10,2.0,2.0,0.2,1.0,7.0,,,c6i.large,2,0.085,0.017,1.5190972222222226e-07,0.017000151909722223
54,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,BamToGvcf,HaplotypeCallerGATK3,"gatk PrintReads
gatk HaplotypeCaller",4.3.0.0,1.0,10.0,5.3,10.0,5000.0,,,c6i.2xlarge,8,0.34,18.02,0.002875434027777778,18.022875434027778
55,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,BamToGvcf,MergeVCFs,picard MergeVcfs,2.26.10,2.0,3.0,0.3,1.0,3500.0,,,c6i.large,2,0.085,0.025500000000000002,0.00011393229166666667,0.02561393229166667
56,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,BamToGvcf,Reblock,gatk ReblockGVCF,4.3.0.0,2.0,4.0,0.5,1.0,660.0,,,c6i.large,2,0.085,0.0425,3.580729166666667e-05,0.04253580729166667
57,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,BamToGvcf,CollectVariantCallingMetrics,picard CollectVariantCallingMetrics,2.26.10,2.0,3.0,0.2,1.0,0.1,,,c6i.large,2,0.085,0.017,2.1701388888888896e-09,0.01700000217013889
58,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,BamToGvcf,ValidateVCF,"gatk VcfToIntervalList
gatk ValidateVariants",4.3.0.0,2.0,7.0,0.2,1.0,0.0,,,c6i.xlarge,4,0.17,0.034,0.0,0.034
59,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,CollectWgsMetrics,CollectWgsMetrics,picard CollectWgsMetrics,2.26.10,2.0,3.0,1.7,1.0,0.1,,,c6i.large,2,0.085,0.14450000000000002,1.844618055555556e-08,0.14450001844618057
60,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,CollectRawWgsMetrics,CollectRawWgsMetrics,picard CollectRawWgsMetrics,2.26.10,2.0,5.0,1.7,1.0,0.1,,,c6i.xlarge,4,0.17,0.28900000000000003,1.844618055555556e-08,0.2890000184461806
61,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,BamToCram,CheckPreValidation,python,3.9,2.0,2.0,0.1,1.0,0.0,,,c6i.large,2,0.085,0.0085,0.0,0.0085
62,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,BamToCram,ConvertToCram,samtools,1.0.2,1.0,3.0,1.2,1.0,10600.0,,,c6i.large,2,0.085,0.10200000000000001,0.0013802083333333333,0.10338020833333333
63,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - WholeGenomeGermlineSingleSample,3.3.3,BamToCram,ValidateCram,picard ValidateSamFile,2.26.10,2.0,16.0,1.7,1.0,0.1,,,c6i.2xlarge,8,0.34,0.5780000000000001,1.844618055555556e-08,0.5780000184461807
64,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - JointGenotyping,1.7.2,CheckSamplesUnique,CheckSamplesUnique,bash,-,2.0,1.0,0.1,1.0,0.0,,,c6i.large,2,0.085,0.0085,0.0,0.0085
65,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - JointGenotyping,1.7.2,SplitIntervalList,SplitIntervalList,gatk SplitIntervals,4.6.1.0,2.0,4.0,0.1,1.0,26.0,,,c6i.large,2,0.085,0.0085,2.821180555555556e-07,0.008500282118055556
66,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - JointGenotyping,1.7.2,ImportGVFs,ImportGVFs,gatk GenomicsDBImport,4.6.1.0,4.0,29.5,1.4,47.0,3000.0,,,c6i.4xlarge,16,0.68,44.744,0.0004557291666666667,44.74445572916667
67,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - JointGenotyping,1.7.2,GenotypeGVCFs,GenotypeGVCFs,gatk GenotypeGVCFs,4.6.1.0,2.0,25.5,1.1,47.0,400.0,,,c6i.4xlarge,16,0.68,35.156000000000006,4.7743055555555565e-05,35.15604774305556
68,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - JointGenotyping,1.7.2,HardFilterAndMakeSitesOnlyVcf,HardFilterAndMakeSitesOnlyVcf,"gatk VariantFiltration
gatk MakeSitesOnlyVCF",4.6.1.0,1.0,4.0,0.1,47.0,400.0,,,c6i.large,2,0.085,0.3995,4.340277777777778e-06,0.3995043402777778
69,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - JointGenotyping,1.7.2,SitesOnlyGatherVcf,SitesOnlyGatherVcf,gatk GatherVcfsCloud,4.6.1.0,1.0,7.0,0.1,1.0,1320.0,,,c6i.xlarge,4,0.17,0.017,1.4322916666666668e-05,0.017014322916666668
70,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - JointGenotyping,1.7.2,IndelsVariantRecalibrator,IndelsVariantRecalibrator,gatk VariantRecalibrator,4.6.1.0,2.0,25.5,0.2,1.0,230.0,,,c6i.4xlarge,16,0.68,0.136,4.991319444444445e-06,0.13600499131944446
71,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - JointGenotyping,1.7.2,SNPsVariantRecalibratorClassic,SNPsVariantRecalibratorClassic,gatk VariantRecalibrator,4.6.1.0,2.0,27.0,0.7,1.0,1200.0,,,c6i.4xlarge,16,0.68,0.476,9.114583333333334e-05,0.4760911458333333
72,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - JointGenotyping,1.7.2,ApplyRecalibration,ApplyRecalibration,gatk ApplyVQSR,4.6.1.0,1.0,7.0,0.2,47.0,2000.0,,,c6i.xlarge,4,0.17,1.598,4.340277777777778e-05,1.598043402777778
73,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - JointGenotyping,1.7.2,FinalGatherVcf,FinalGatherVcf,gatk GatherVcfsCloud,4.6.1.0,1.0,7.0,0.1,1.0,9100.0,,,c6i.xlarge,4,0.17,0.017,9.874131944444444e-05,0.017098741319444447
74,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - JointGenotyping,1.7.2,CollectMetricsOnFullVcf,CollectMetricsOnFullVcf,gatk CollectVariantCallingMetrics,4.6.1.0,2.0,7.5,0.2,1.0,0.1,,,c6i.xlarge,4,0.17,0.034,2.1701388888888896e-09,0.03400000217013889
75,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,warp - JointGenotyping,1.7.2,CrossCheckFingerprintSolo,CrossCheckFingerprintSolo,gatk CrosscheckFingerprints,4.6.1.0,2.0,120.0,1.5,1.0,0.1,,,c6i.16xlarge,64,2.72,4.08,1.627604166666667e-08,4.080000016276042
76,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,Inhouse,1.0.0,Variant Annotation & Make Summary file,Variant Annotation & Make Summary file,"SnpEff
svdb","4.2
2.8.2",32.0,36.0,10.0,1.0,25000.0,,,c6i.8xlarge,32,1.36,13.600000000000001,0.027126736111111112,13.627126736111112
77,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,Inhouse,1.0.0,Fastq QC,Fastq QC,FastQ Screen,0.16.0,16.0,36.0,0.5,1.0,10.0,,,c6i.8xlarge,32,1.36,0.68,5.425347222222222e-07,0.6800005425347223
78,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,Inhouse,1.0.0,Bam QC,Bam QC,"qualimap
samtools","2.2.2
1.6",16.0,36.0,2.0,1.0,3.0,,,c6i.8xlarge,32,1.36,2.72,6.510416666666668e-07,2.720000651041667
79,Whole Genome Sequencing,Human 기본 분석,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,Inhouse,1.0.0,VCF QC,gVCF genotyping & VCF stats,"gatk GenotypeGVCFs
bcftools","4.6.1.0
1.19",16.0,36.0,0.5,1.0,300.0,,,c6i.8xlarge,32,1.36,0.68,1.6276041666666666e-05,0.6800162760416667
