Team,직무(업무명),Analysis_name,Platform,Pipeline Name,Pipeline Version,n_groups,n_steps,n_tools,tools_list,total_cpu,total_mem_gb,total_time_hr,total_storage_gb,total_cost_usd,compute_cost_usd,storage_cost_usd,cost_per_hour
1,Whole Genome Sequencing,Illumina Novaseq non-Human Whole Genome Sequencing,Illumina NovaSeq,"Inhouse, warp - WholeGenomeGermlineSingleSample, warp - JointGenotyping",1.0.0,17,32,35,"FastQ Screen, SnpEff, bash, bcftools, bwa mem, gatk FastqToSam, gatk GatherVcfsCloud, gatk GenomicsDBImport, gatk GenotypeGVCFs, gatk HaplotypeCaller...",151,366,48.1,428.2,227.6,227.0,0.6,4.7
1,Whole Genome Sequencing,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,"Hifi-human-WGS-WDL, Inhouse",3.1.0,6,34,22,"aligned_bam_to_cpg_scores, bcftools, deepvariant, fastqc, hiphase, methbat, mitorsaw, mosdepth, multiqc, nanostat...",317,1232,66.6,364.1,257.5,257.3,0.2,3.9
1,단백질 데이터 통계 분석,Olink-Somascan Proteomics downstream analysis,"Olink, Somascan",Inhouse,1.0.0,4,31,2,"R, python",91,424,1.8,0.4,1.0,1.0,0.0,0.6
1,커스텀 분석,Kinics-ICS,Axiom Microarray,Inhouse,1.0.0,1,6,5,"R, Shapeit, perl, plink1.9, python",11,26,33.7,2.0,177.7,177.7,0.0,5.3
1,커스텀 분석,Proteome-Wide Association Study(PWAS),"Microarray, Olink",Inhouse,1.0.0,24,31,11,"R, TIGAR, bash, bcftools, coloc, ivreg, ldsc, locuszoom, plink, python...",558,488,92.8,277.6,12926.2,12926.1,0.1,139.4
2,Long RNA Sequencing,IsoSeq,Pacbio Revio,Isoseq,25.2,2,15,7,"bam2fasta, dataset, isoseq, lima, python, python3, skera",80,91,2.9,29.4,1.8,1.8,0.0,0.6
2,Long RNA Sequencing,IsoSeq_DEG,Pacbio Revio,Isoseq,25.2,2,15,7,"bam2fasta, dataset, isoseq, lima, python, python3, skera",80,91,2.9,29.4,1.8,1.8,0.0,0.6
2,Methylation Chip,Methylation array QC / DMR 분석,Illumina iScan,inhouse,1.0.1,2,4,1,R,23,195,3.7,21.5,11.6,11.6,0.0,3.1
2,Microarray,microarray,Microarray,inhouse,1.0.0,3,3,3,"Expression console, R, python",8,6,0.3,0.1,0.1,0.1,0.0,0.2
2,Short RNA Sequencing,20250605_CNBU_SONGMINSEOK,Illumina NovaSeq,inhouse,1.0.0,2,4,1,R,4,4,1.2,0.0,0.1,0.1,0.0,0.1
2,Short RNA Sequencing,Custom plot,Illumina NovaSeq,inhouse,1.0.0,3,3,2,"R, awk",3,2,4.7,0.0,0.4,0.4,0.0,0.1
2,Short RNA Sequencing,FusineGene,Illumina NovaSeq,RNAFUSION,4.1.0,13,26,16,"FusionInspector, STAR-Fusion, agat, arriba, ctat-splicing, fastp, fastqc, fusion_report, fusioncatcher, multiqc...",67,471,4.0,539.4,11.1,11.0,0.1,2.7
2,Short RNA Sequencing,Immune_TCR_BCR,MiSeq,"Immune Repertoire Analysis, clonal expansion",1.0.0,6,18,6,"Immunarch, Immunarch, python, MiXCR, R, python, zcat",55,113,3.9,7.1,1.1,1.1,0.0,0.3
2,Short RNA Sequencing,IsoSeq_DEG,Illumina NovaSeq,"Denovo Transcriptome Assembly, Functional Analysis(GO, KEGG)",1.0.0,4,8,6,"David, blast2GO, clusterprofiler, diamond, diamond-blast, python",134,198,6.7,4.6,8.4,8.4,0.0,1.3
2,Short RNA Sequencing,LeeJinWuk_ontology Custom plot,Illumina NovaSeq,inhouse,1.0.0,2,2,2,"R, awk",2,1,0.7,0.0,0.1,0.1,0.0,0.1
2,Short RNA Sequencing,RNASeq_BAM_DEG,Illumina NovaSeq,"QC, Tophat_cufflink_DEG, Functional Analysis(GO, KEGG)",1.0.0,11,25,16,"Cutadapter, David, R, STAR, awk, bowtie2, clusterprofiler, cuffdiff, diamond, gffread...",194,312,53.0,22.2,44.0,44.0,0.0,0.8
2,Short RNA Sequencing,RNASeq_DEG_AS_SNP,Illumina NovaSeq,"RNASeq통합분석, Functional Analysis(GO, KEGG)",1.0.0,8,31,12,"GATK, R, RSEM, STAR, awk, bwa, clusterprofiler, rmats, samtools, snpEff...",201,801,21.5,66.9,14.2,14.2,0.0,0.7
2,Short RNA Sequencing,RNASeq_XENOGRAFT_FILTERING,Illumina NovaSeq,"RNASeq통합분석, xeno_filtering, Functional Analysis(GO, KEGG)",1.0.0,7,15,10,"GATK, R, RSEM, STAR, XenofilteR, awk, bwa, clusterprofiler, samtools, trinity",69,289,6.1,20.5,3.8,3.8,0.0,0.6
2,Short RNA Sequencing,RNASeq_noBAM_DEG,Illumina NovaSeq,"QC, Kallisto_DEG, Functional Analysis(GO, KEGG)",1.0.0,10,19,14,"David, R, STAR, clusterprofiler, diamond, edgeR, gffread, kallisto, perl, python...",111,156,18.9,2.3,11.5,11.5,0.0,0.6
2,Short RNA Sequencing,RNASeq_noREF_DEG,Illumina NovaSeq,"QC, Denovo Transcriptome Assembly, Kallisto_DEG, Functional Analysis(GO, KEGG)",1.0.0,12,25,18,"David, R, STAR, Trinity, Trinity(assembly), blast2GO, clusterprofiler, diamond, diamond-blast, edgeR...",251,489,29.1,9.0,41.4,41.4,0.0,1.4
2,Short RNA Sequencing,circRNA,Illumina NovaSeq,circrna,1.0.0,9,45,20,"R, bedtools, bioconductor_rtracklayer, cat, circTest, circexplorer2, csvtk, fastqc, gawk, gffread...",145,856,9.7,328.4,17.7,17.7,0.0,1.8
2,Single Cell RNA,scRNA_10x_illumina,"10x genomics, All Single-cell platform, Illumina","Pre-processing(10x_ilumina), inhouse",v1.0.0,2,6,3,"CellRanger, Seurat, clusterprofiler",37,662,13.0,107.4,24.6,24.6,0.0,1.9
2,Single Cell RNA,scRNA_10x_kinnex,"10x genomics, All Single-cell platform, PacBio Revio MARS-Seq","Pre-processing(10x_pacbio), inhouse",25.1.0.257715,3,24,19,"R, Seurat, clusterprofiler, isoseq, isoseq_bcstats, isoseq_correct, isoseq_groupdedup, isoseq_refine, isoseq_tag, lima...",84,662,80.6,1601.8,41.0,39.8,1.1,0.5
2,Single Cell RNA,scRNA_parse_illumina,"All Single-cell platform, Illumina, Parse Bioscience(Evercode all type)","Pre-processing(parse_illumina), inhouse",1.6.3,2,7,4,"Seurat, clusterprofiler, split-pipe_all, split-pipe_comb",133,613,15.0,122.1,30.1,30.0,0.0,2.0
2,Single Cell RNA,scRNA_parse_kinnex,"All Single-cell platform, PacBio Revio MARS-Seq, Parse Bioscience(Evercode all type)","Pre-processing(parse_pacbio), inhouse",25.1.0.257715,6,18,11,"Seurat, bamToFastq, cat and zip, clusterprofiler, minimap2, python, seqkit, skera, split-pipe_comb, split-pipe_post...",235,643,44.5,1694.9,50.4,49.5,0.9,1.1
2,Single Cell RNA,scRNA_scale_illumina,"All Single-cell platform, Illumina, QuatumScale","Pre-processing(scalebio_illumina), inhouse",2.1.0,9,25,10,"STAR, Seurat, bc_parser, bcl-convert, clusterprofiler, cutadapt, fastqc, multiqc, pigz, python",82,711,14.5,840.2,23.2,23.2,0.0,1.6
2,Spatial,cosmx,Bruker Nanostring_CosMx,"AtoMx, inhouse",1.0.0,2,2,2,"AtoMx, Giotto",64,200,36.0,14.6,48.4,48.4,0.0,1.3
2,Spatial,geomx,Bruker Nanostring_GeoMx,GeoMxDSP,3.2,1,1,1,geomxngspipeline,64,10,0.1,137.7,0.3,0.3,0.0,2.7
2,Targeted Methylation Sequencing,Target BS DMR 분석 - human/mouse,Illumina NovaSeq,inhouse,1.1.1,10,15,11,"C, R, bedtools, bismark, bismark_methylation_extractor, deduplicate_bismark, fastqc, mosdepth, multiqc, samtools...",70,104,9.2,44.5,6.5,6.5,0.0,0.7
2,Whole Genome Bisulfite Sequencing ,WGBS DMR 분석 - human/mouse,Illumina NovaSeq,inhouse,1.1.1,11,15,11,"C, R, bismark, bismark2bedGraph, bismark_methylation_extractor, deduplicate_bismark, fastqc, mosdepth, multiqc, samtools...",70,174,84.9,405.1,66.7,66.1,0.7,0.8
2,Whole Genome Bisulfite Sequencing ,WGBS DMR 분석 - human/mouse 외,Illumina NovaSeq,inhouse,1.1.1,11,16,13,"C, R, bismark, bismark2bedGraph, bismark_genome_preparation, bismark_methylation_extractor, cgh_lh, deduplicate_bismark, fastqc, mosdepth...",71,382,87.1,417.6,69.5,68.8,0.7,0.8
2,Whole Genome Bisulfite Sequencing ,brmh_JSW custom analysis,Illumina NovaSeq,inhouse,1.1.1,3,4,2,"R, awk",158,1123,67.1,0.0,234.8,234.8,0.0,3.5
2,Whole Genome Sequencing ,Long read 6mA / 4mC - microbial genome only,Pacbio Revio,"smrtlink, inhouse",25.2,6,20,8,"R, ccs-kinetics-bystrandify, dataset, ipdsummary, pbmm2, pbmotifmaker, python3, summarize-coverage",82,33,2.3,28.6,0.6,0.6,0.0,0.3
3,Large Genome Analysis,annotation,PacBio Revio,inhouse,2.0.0,3,7,7,"braker4, diamond, egapx, eggnog-mapper, interproscan, nextflow, python",63,245,179.1,4.1,118.7,118.7,0.0,0.7
3,Large Genome Analysis,assembly (algae species),PacBio Revio,inhouse,2.0.0,6,13,12,"assembly-stats, busco, calcuts, get_seqs, gfatools, hifiasm, minimap2, pbcstat, purge_dups, python...",288,405,31.4,34.2,78.2,78.1,0.0,2.5
3,Large Genome Analysis,assembly (genome 1-3GB),PacBio Revio,inhouse,2.0.0,5,17,11,"busco, calcuts, fcs-gx, get_seqs, gfatools, hifiasm, minimap2, paqman, pbcstat, purge_dups...",430,1023,43.3,50.3,106.5,106.5,0.0,2.5
3,Large Genome Analysis,assembly (genome 3-5GB),PacBio Revio,inhouse,2.0.0,5,17,11,"busco, calcuts, fcs-gx, get_seqs, gfatools, hifiasm, minimap2, paqman, pbcstat, purge_dups...",430,1441,96.2,88.0,332.0,331.9,0.1,3.5
3,Large Genome Analysis,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,5,17,11,"busco, calcuts, fcs-gx, get_seqs, gfatools, hifiasm, minimap2, paqman, pbcstat, purge_dups...",430,871,14.1,19.2,34.4,34.4,0.0,2.4
3,Large Genome Analysis,kmer (illumina),Illumina NovaSeq,inhouse,2.0.0,2,3,2,"genomescope2, jellyfish",22,72,7.0,11.7,8.3,8.3,0.0,1.2
3,Large Genome Analysis,kmer (pacbio),PacBio Revio,inhouse,2.0.0,3,5,3,"genomescope2, meryl, python",24,105,6.7,24.4,6.9,6.9,0.0,1.0
3,Large Genome Analysis,organelle,Illumina NovaSeq,inhouse,2.0.0,3,5,5,"chlorobox, faQCs, get_organelle, mitofinder, mtgrasp",65,57,6.1,9.3,4.1,4.1,0.0,0.7
3,Large Genome Analysis,profiling,PacBio Revio,inhouse,2.0.0,3,6,4,"kraken2, minimap2, python, samtools",194,594,16.2,29.4,45.8,45.8,0.0,2.8
3,Large Genome Analysis,"variant call (non-human, illumina)",Illumina NovaSeq,inhouse,2.0.0,6,12,10,"bcftools, bwa-mem2, delly, fastp, gatk4, manta, picard (gatk4), python, snippy, variant-preflight",99,294,49.7,88.9,43.6,43.6,0.1,0.9
3,Large Genome Analysis,"variant call (non-human, pacbio)",PacBio Revio,inhouse,2.0.0,6,9,10,"bcftools, deepvariant, gatk4, hiphase, pbmm2, python, sawfish, sniffles, variant-preflight, whatshap",227,486,37.7,38.1,58.6,58.5,0.0,1.6
3,Microbiome,16S rRNA metagenome (Illumina),Illumina Miseq,16S V3-V4 (inhouse),1.0.0,6,19,2,"python, qiime2",1088,32,3.0,7.3,7.5,7.5,0.0,2.5
3,Microbiome,16S rRNA metagenome (PacBio),PacBio Revio,16S full-length (inhouse),1.0.0,6,19,2,"python, qiime2",1088,264,117.9,29.1,318.5,318.4,0.1,2.7
3,Microbiome,Microbiome Consortium,PacBio Revio,inhouse,1.0.0,4,4,4,"cutadapt, dada2, lima, smrtlink dataset",98,71,9.2,73.2,23.2,23.1,0.0,2.5
3,Microbiome,shotgun metagenome (Illumina),Illumina Novaseq,inhouse,1.0.0,6,12,10,"bwa, checkm2, dastools, fastq, gtdbtk, mOTUs, metawrap, prokka, python, quarto",433,170,10.6,91.6,21.3,21.3,0.0,2.0
3,Microbiome,shotgun metagenome (PacBio),PacBio Revio,HiFi-MAG-Pipeline+inhouse,v3.3.2,7,14,10,"checkm2, dastool, flye, gtdbtk, metabat, minimap2, prokka, python, quarto, semibin",528,274,250.5,207.2,997.5,996.9,0.6,4.0
3,Small Genome Analysis,"Annotation (Bacteria, Fungi)","PacBio Revio, illumina Novaseq",inhouse,1.0.0,3,8,7,"blast2go, bwa, diamond, minimap2, prokka, python, samtools",265,15,3.2,35.7,4.3,4.3,0.0,1.3
3,Small Genome Analysis,"Assembly (Bacteria,Fungi)","PacBio Revio, illumina Novaseq",inhouse,1.0.0,5,13,11,"busco, circos, circulator, flye, gatk, lima, pbcromwell, pilon, python, samtools...",536,39,30.5,103.1,81.6,81.6,0.0,2.7
3,Virus Analysis,virus (illumina),Illumina NovaSeq,inhouse,1.0.0,8,13,13,"bcftools, bwa-mem2, checkv, dnaapler, fastp, mummer4, nextclade, pharokka, phold, python...",189,289,26.1,0.9,31.8,31.8,0.0,1.2
3,Virus Analysis,virus (ont),Nanopore PromethION,inhouse,1.0.0,8,15,13,"checkv, clair3, dnaapler, flye, hybracter, medaka, mummer4, nextclade, pharokka, phold...",265,401,41.1,1.4,49.3,49.3,0.0,1.2
3,Virus Analysis,virus (pacbio),PacBio Revio,inhouse,1.0.0,8,14,13,"bcftools, checkv, dnaapler, flye, hybracter, minimap2, mummer4, nextclade, pharokka, phold...",253,345,36.1,1.6,46.8,46.8,0.0,1.3
