idx,직무(업무명),업무세부내역,Analysis_name,Platfom,Pipeline Name,Pipeline Version,Group,Step,tools,version,CPUs,MEM(G),TIME(hr),nTask(병렬),SIZE(MB),USER,비고
16,,,,,,,PAQMAN,PAQMAN_COMPARE (select best),python,-,1,1,0.1,1,1000,백성용,
17,,,,,,,GENOME_ASSESSMENT,BUSCO,busco,6.0.0,32,40,1,1,700,백성용,
18,,,assembly (genome 1-3GB),PacBio Revio,inhouse,2.0.0,ASSEMBLY,HIFIASM_ASSEMBLE,hifiasm,0.25.0,64,128,24,1,9000,백성용,
19,,,,,,,ASSEMBLY,GFA_TO_FASTA,gfatools,0.5.5,1,8,0.3,1,3000,백성용,
20,,,,,,,PURGE_DUPS,RAWDATA_MAPPING,minimap2,2.28,64,32,3,1,5000,백성용,
21,,,,,,,PURGE_DUPS,MAKE_STATS,pbcstat / calcuts,1.2.6,4,8,0.2,1,1,백성용,
22,,,,,,,PURGE_DUPS,PURGE_DUPS_STEP1,purge_dups,1.2.6,64,64,0.5,1,5000,백성용,
23,,,,,,,PURGE_DUPS,PURGE_DUPS_STEP2,purge_dups,1.2.6,4,16,0.3,1,2500,백성용,
24,,,,,,,PURGE_DUPS,PURGE_DUPS_STEP3 (get_seqs),get_seqs,1.2.6,4,8,0.2,1,2500,백성용,
25,,,,,,,FCS_GX,FCS_GX_SCREEN,fcs-gx,0.5.5,32,510,3,1,5,백성용,
26,,,,,,,FCS_GX,FCS_GX_CLEAN,fcs-gx,0.5.5,4,16,0.5,1,3000,백성용,
27,,,,,,,FCS_GX,FCS_GX_REMAP_READS,minimap2,2.28,64,32,3,1,5000,백성용,
28,,,,,,,FCS_GX,FCS_GX_MAKE_STATS,pbcstat / calcuts,1.2.6,4,8,0.2,1,1,백성용,
29,,,,,,,FCS_GX,FCS_GX_PURGE_STEP1,purge_dups,1.2.6,64,64,0.5,1,5000,백성용,
30,,,,,,,FCS_GX,FCS_GX_PURGE_STEP2,purge_dups,1.2.6,4,16,0.3,1,2500,백성용,
31,,,,,,,FCS_GX,FCS_GX_PURGE_STEP3 (get_seqs),get_seqs,1.2.6,4,8,0.2,1,2500,백성용,
32,,,,,,,PAQMAN,PAQMAN_EVAL (7-metric A/B),paqman,inhouse,16,64,6,1,3000,백성용,
33,,,,,,,PAQMAN,PAQMAN_COMPARE (select best),python,-,1,1,0.1,1,2500,백성용,
34,,,,,,,GENOME_ASSESSMENT,BUSCO,busco,6.0.0,32,40,1,1,1000,백성용,
35,,,assembly (genome 3-5GB),PacBio Revio,inhouse,2.0.0,ASSEMBLY,HIFIASM_ASSEMBLE,hifiasm,0.25.0,64,410,64,1,15000,백성용,
36,,,,,,,ASSEMBLY,GFA_TO_FASTA,gfatools,0.5.5,1,8,0.5,1,5000,백성용,
37,,,,,,,PURGE_DUPS,RAWDATA_MAPPING,minimap2,2.28,64,48,6,1,9000,백성용,
38,,,,,,,PURGE_DUPS,MAKE_STATS,pbcstat / calcuts,1.2.6,4,8,0.3,1,1,백성용,
39,,,,,,,PURGE_DUPS,PURGE_DUPS_STEP1,purge_dups,1.2.6,64,96,1,1,9000,백성용,
40,,,,,,,PURGE_DUPS,PURGE_DUPS_STEP2,purge_dups,1.2.6,4,24,0.5,1,4500,백성용,
41,,,,,,,PURGE_DUPS,PURGE_DUPS_STEP3 (get_seqs),get_seqs,1.2.6,4,8,0.3,1,4500,백성용,
42,,,,,,,FCS_GX,FCS_GX_SCREEN,fcs-gx,0.5.5,32,510,3,1,5,백성용,
43,,,,,,,FCS_GX,FCS_GX_CLEAN,fcs-gx,0.5.5,4,16,0.8,1,5000,백성용,
44,,,,,,,FCS_GX,FCS_GX_REMAP_READS,minimap2,2.28,64,48,6,1,9000,백성용,
45,,,,,,,FCS_GX,FCS_GX_MAKE_STATS,pbcstat / calcuts,1.2.6,4,8,0.3,1,1,백성용,
46,,,,,,,FCS_GX,FCS_GX_PURGE_STEP1,purge_dups,1.2.6,64,96,1,1,9000,백성용,
47,,,,,,,FCS_GX,FCS_GX_PURGE_STEP2,purge_dups,1.2.6,4,24,0.5,1,4500,백성용,
48,,,,,,,FCS_GX,FCS_GX_PURGE_STEP3 (get_seqs),get_seqs,1.2.6,4,8,0.3,1,4500,백성용,
49,,,,,,,PAQMAN,PAQMAN_EVAL (7-metric A/B),paqman,inhouse,16,80,10,1,5000,백성용,
50,,,,,,,PAQMAN,PAQMAN_COMPARE (select best),python,-,1,1,0.2,1,4500,백성용,
51,,,,,,,GENOME_ASSESSMENT,BUSCO,busco,6.0.0,32,48,1.5,1,1600,백성용,
52,,,assembly (algae species),PacBio Revio,inhouse,2.0.0,ASSEMBLY,HIFIASM_ASSEMBLE,hifiasm,0.25.0,64,128,24,1,9000,백성용,
53,,,,,,,ASSEMBLY,GFA_TO_FASTA,gfatools,0.5.5,1,8,0.3,1,3000,백성용,
54,,,,,,,DECONTAM,TIARA_CLASSIFY,tiara,1.0.3,16,16,0.5,1,1500,백성용,
55,,,,,,,DECONTAM,EXTRACT_PLANT,seqkit / python,2.5,1,8,0.2,1,2000,백성용,
56,,,,,,,PURGE_DUPS,REMAP_READS,minimap2,2.28,64,32,3,1,5000,백성용,
57,,,,,,,PURGE_DUPS,MAKE_STATS,pbcstat / calcuts,1.2.6,4,8,0.2,1,1,백성용,
58,,,,,,,PURGE_DUPS,PURGE_STEP1,purge_dups,1.2.6,64,80,0.5,1,5000,백성용,
59,,,,,,,PURGE_DUPS,PURGE_STEP2,purge_dups,1.2.6,4,16,0.3,1,2500,백성용,
60,,,,,,,PURGE_DUPS,PURGE_STEP3 (get_seqs),get_seqs,1.2.6,4,8,0.2,1,2500,백성용,
61,,,,,,,GENOME_ASSESSMENT,BUSCO_OPTION_A,busco,6.0.0,32,48,1,1,1000,백성용,
62,,,,,,,GENOME_ASSESSMENT,BUSCO_OPTION_B,busco,6.0.0,32,48,1,1,1000,백성용,
63,,,,,,,SELECT_BEST,SELECT_BEST (A vs B),python,-,1,1,0.1,1,2500,백성용,
64,,,,,,,REPORTING,ASSEMBLY_STATS,assembly-stats,1.0.1,1,4,0.1,1,1,백성용,
65,,Gene Annotation,annotation,PacBio Revio,inhouse,2.0.0,STRUCTURAL_ANNOTATION,BRAKER4_RUN (기본 track),braker4,0.4.0,2,4,96,1,500,백성용,
66,,,,,,,STRUCTURAL_ANNOTATION,EGAPx (대안 track),egapx / nextflow,0.4.1,16,64,48,1,500,백성용,
67,,,,,,,FUNCTIONAL_ANNOTATION,EGGNOG_MAPPER,eggnog-mapper,2.1.13,16,64,8,1,150,백성용,
68,,,,,,,FUNCTIONAL_ANNOTATION,MERGE_FUNCTIONAL,python,-,4,32,2,1,50,백성용,
69,,,,,,,FUNCTIONAL_ANNOTATION,INTERPROSCAN,interproscan,5.72-103.0,16,64,24,1,3000,백성용,
70,,,,,,,VIRULENCE,PHIBASE_DIAMOND_BLASTP,diamond,2.1,8,16,1,1,30,백성용,
71,,,,,,,VIRULENCE,PHIBASE_SUMMARIZE,python,-,1,1,0.1,1,5,백성용,
72,,Variant Call,"variant call (non-human, pacbio)",PacBio Revio,inhouse,2.0.0,PREFLIGHT,REFERENCE_RESOLVE,variant-preflight,-,1,2,0.2,1,1,백성용,
73,,,,,,,ALIGNMENT,ALIGN_PBMM2,pbmm2,1.17.0,32,64,4,1,30000,백성용,
74,,,,,,,SNV,CALL_SNV_DEEPVARIANT,deepvariant,1.10.0,32,64,8,1,2000,백성용,
75,,,,,,,SNV,CALL_SNV_GATK4_POLYPLOID,gatk4,4.5.0,32,96,12,1,2000,백성용,
76,,,,,,,SV,CALL_SV_SAWFISH,sawfish,2.2.1,32,64,4,1,500,백성용,
77,,,,,,,SV,CALL_SV_SNIFFLES2,sniffles,2.4,32,64,2,1,500,백성용,
78,,,,,,,PHASING,PHASE_HIPHASE,hiphase,1.4.0,32,64,3,1,2000,백성용,
79,,,,,,,PHASING,PHASE_WHATSHAP_POLYPHASE,whatshap,2.2,32,64,4,1,2000,백성용,
80,,,,,,,REPORT,VARIANT_REPORT,python / bcftools,1.21,2,4,0.5,1,50,백성용,
81,,,"variant call (non-human, illumina)",Illumina NovaSeq,inhouse,2.0.0,PREFLIGHT,REFERENCE_RESOLVE,variant-preflight,-,1,2,0.2,1,1,백성용,
82,,,,,,,QC,PREPROCESS_FASTP,fastp,1.0.0,8,8,2,1,20000,백성용,
83,,,,,,,ALIGNMENT,ALIGN_BWA_MEM2,bwa-mem2,2.2.1,16,32,8,1,30000,백성용,
84,,,,,,,ALIGNMENT,MARK_DUPLICATES,picard (gatk4),4.5.0,4,32,4,1,30000,백성용,
85,,,,,,,SNV,CALL_SNIPPY,snippy,4.6.0,16,16,3,1,2000,백성용,
86,,,,,,,SNV,CALL_GATK4_HC_GVCF,gatk4,4.5.0,16,64,12,1,3000,백성용,
87,,,,,,,SNV,REBLOCK_GVCF,gatk4,4.5.0,4,20,2,1,1000,백성용,
88,,,,,,,SNV,GENOTYPE_GVCFS,gatk4,4.5.0,16,64,8,1,2000,백성용,
89,,,,,,,SNV,GATK_HARD_FILTER,gatk4,4.5.0,4,20,2,1,2000,백성용,
90,,,,,,,SV,CALL_SV_MANTA,manta,1.6.0,8,16,4,1,500,백성용,
91,,,,,,,SV,CALL_SV_DELLY,delly,1.2.6,4,16,4,1,500,백성용,
92,,,,,,,REPORT,VARIANT_REPORT,python / bcftools,1.21,2,4,0.5,1,50,백성용,
93,,Organelle Analysis,organelle,Illumina NovaSeq,inhouse,2.0.0,DATA_FILTERING,ADAPTER_TRIMMING,faQCs,2.1,16,8,1,1,8000,"백성용, 류예지",
94,,,,,,,ORGANELLE_ASSEMBLY,REFERENCE_BASED_ASSEMBLY,get_organelle,1.7.7,16,16,1,1,500,"백성용, 류예지",
95,,,,,,,ORGANELLE_ASSEMBLY,REFERENCE_BASED_ASSEMBLY,mtgrasp,1.1.8,16,16,1,1,500,"백성용, 류예지",
96,,,,,,,ORGANELLE_ASSEMBLY,REFERENCE_BASED_ASSEMBLY,mitofinder,1.4.2,16,16,3,1,500,"백성용, 류예지",
97,,,,,,,ANNOTATION,ANNOTATION_VISUALIZATION,chlorobox,web,1,1,0.1,1,5,"백성용, 류예지",
98,,K-mer Genome Size Estimation,kmer (pacbio),PacBio Revio,inhouse,2.0.0,KMER_COUNT,MERYL_COUNT,meryl,1.4.1,16,64,4,1,15000,백성용,
99,,,,,,,KMER_COUNT,MERYL_MERGE,meryl,1.4.1,4,32,2,1,10000,백성용,
100,,,,,,,KMER_COUNT,MERYL_HISTOGRAM,meryl,1.4.1,1,4,0.1,1,1,백성용,
101,,,,,,,GENOME_SIZE_EST,GENOMESCOPE_HIFI,genomescope2,2,2,4,0.5,1,5,백성용,
102,,,,,,,REPORTING,COMPARE_ESTIMATES,python,-,1,1,0.1,1,1,백성용,
103,,,kmer (illumina),Illumina NovaSeq,inhouse,2.0.0,KMER_COUNT,JELLYFISH_COUNT,jellyfish,2.3.1,16,64,6,1,12000,백성용,
104,,,,,,,KMER_COUNT,JELLYFISH_HISTO,jellyfish,2.3.1,4,4,0.5,1,1,백성용,
105,,,,,,,GENOME_SIZE_EST,GENOMESCOPE_ILLUMINA,genomescope2,2,2,4,0.5,1,5,백성용,
106,,taxonomy profiling,profiling,PacBio Revio,inhouse,2.0.0,TRACK1_KRAKEN2,KRAKEN2_READS,kraken2,2.1.2,64,256,6,1,20000,백성용,
107,,,,,,,TRACK1_KRAKEN2,SPECIES_SUMMARY,python,-,1,1,0.1,1,1,백성용,
108,,,,,,,TRACK2_MAPPING,MINIMAP2_READS_TO_REF,minimap2 / samtools,2.24 / 1.21,32,48,6,1,8000,백성용,
109,,,,,,,TRACK2_MAPPING,CONTIG_KRAKEN2,kraken2,2.1.2,64,256,3,1,100,백성용,
110,,,,,,,TRACK2_MAPPING,MINIMAP2_CONTIG_TO_REF,minimap2 / samtools,2.24 / 1.21,32,32,1,1,2000,백성용,
111,,,,,,,REPORTING,PROFILING_REPORT,python,-,1,1,0.1,1,5,백성용,
112,Virus Analysis,Single Virus Analysis,virus (pacbio),PacBio Revio,inhouse,1.0.0,INPUT_PREP,HIFI_TO_FASTQ,samtools,1.21,8,16,2,1,1000,백성용,
113,,,,,,,DENOVO_ASSEMBLY,ASSEMBLE_HYBRACTER (기본),hybracter,0.12.0,32,64,10,1,200,백성용,
114,,,,,,,DENOVO_ASSEMBLY,ASSEMBLE_HIFI (폴백),flye,2.9.5,32,48,6,1,100,백성용,
115,,,,,,,REF_MAPPING,MAP_HIFI,minimap2,2.24,32,32,2,1,200,백성용,
116,,,,,,,REF_VARIANTS,CALL_HIFI,bcftools,1.21,4,8,1,1,1,백성용,
117,,,,,,,NORMALIZE,DTR_TRIM,checkv / mummer4,1.0.1 / 4.0,8,16,1,1,1,백성용,
118,,,,,,,NORMALIZE,REORIENT,dnaapler,1.3,16,16,1,1,1,백성용,
119,,,,,,,ANNOTATION,VADR (non-phage),vadr,1.6.4,8,16,2,1,10,백성용,
120,,,,,,,ANNOTATION,PHAROKKA (phage),pharokka,1.7.0,8,16,1,1,50,백성용,
121,,,,,,,ANNOTATION,PHOLD (phage),phold,1.2.5,64,64,6,1,50,백성용,
122,,,,,,,ANNOTATION,CHECKV (phage),checkv,1.0.1,32,32,2,1,10,백성용,
123,,,,,,,ANNOTATION,NEXTCLADE (non-phage),nextclade,3,4,8,1,1,1,백성용,
124,,,,,,,COVERAGE,SAMTOOLS_DEPTH,samtools,1.21,4,8,1,1,5,백성용,
125,,,,,,,REPORTING,VIRUS_SUMMARY,python,-,1,1,0.1,1,1,백성용,
126,,,virus (ont),Nanopore PromethION,inhouse,1.0.0,INPUT_PREP,ONT_TO_FASTQ,samtools,1.21,8,16,2,1,1000,백성용,
127,,,,,,,DENOVO_ASSEMBLY,ASSEMBLE_HYBRACTER (기본),hybracter,0.12.0,32,64,10,1,200,백성용,
128,,,,,,,DENOVO_ASSEMBLY,ASSEMBLE_ONT (폴백),flye,2.9.5,32,48,6,1,100,백성용,
129,,,,,,,DENOVO_ASSEMBLY,ONT_MEDAKA_POLISH,medaka,2.2.2,16,32,4,1,5,백성용,
130,,,,,,,REF_CONSENSUS,CONSENSUS_ONT,medaka,2.2.2,16,32,2,1,1,백성용,
131,,,,,,,REF_VARIANTS,CALL_ONT,clair3,2.0.1,16,32,2,1,1,백성용,
132,,,,,,,NORMALIZE,DTR_TRIM,checkv / mummer4,1.0.1 / 4.0,8,16,1,1,1,백성용,
133,,,,,,,NORMALIZE,REORIENT,dnaapler,1.3,16,16,1,1,1,백성용,
134,,,,,,,ANNOTATION,VADR (non-phage),vadr,1.6.4,8,16,2,1,10,백성용,
135,,,,,,,ANNOTATION,PHAROKKA (phage),pharokka,1.7.0,8,16,1,1,50,백성용,
136,,,,,,,ANNOTATION,PHOLD (phage),phold,1.2.5,64,64,6,1,50,백성용,
137,,,,,,,ANNOTATION,CHECKV (phage),checkv,1.0.1,32,32,2,1,10,백성용,
138,,,,,,,ANNOTATION,NEXTCLADE (non-phage),nextclade,3,4,8,1,1,1,백성용,
139,,,,,,,COVERAGE,SAMTOOLS_DEPTH,samtools,1.21,4,8,1,1,5,백성용,
140,,,,,,,REPORTING,VIRUS_SUMMARY,python,-,1,1,0.1,1,1,백성용,
141,,,virus (illumina),Illumina NovaSeq,inhouse,1.0.0,INPUT_PREP,ILLUMINA_QC,fastp,0.23.4,8,8,2,1,500,백성용,
142,,,,,,,DENOVO_ASSEMBLY,ASSEMBLE_ILLUMINA,spades,4,16,64,6,1,100,백성용,
143,,,,,,,REF_MAPPING,MAP_ILLUMINA,bwa-mem2,2.2,16,32,2,1,200,백성용,
144,,,,,,,REF_VARIANTS,CALL_ILLUMINA,bcftools,1.21,4,8,1,1,1,백성용,
145,,,,,,,NORMALIZE,DTR_TRIM,checkv / mummer4,1.0.1 / 4.0,8,16,1,1,1,백성용,
146,,,,,,,NORMALIZE,REORIENT,dnaapler,1.3,16,16,1,1,1,백성용,
147,,,,,,,ANNOTATION,VADR (non-phage),vadr,1.6.4,8,16,2,1,10,백성용,
148,,,,,,,ANNOTATION,PHAROKKA (phage),pharokka,1.7.0,8,16,1,1,50,백성용,
149,,,,,,,ANNOTATION,PHOLD (phage),phold,1.2.5,64,64,6,1,50,백성용,
150,,,,,,,ANNOTATION,CHECKV (phage),checkv,1.0.1,32,32,2,1,10,백성용,
151,,,,,,,ANNOTATION,NEXTCLADE (non-phage),nextclade,3,4,8,1,1,1,백성용,
152,,,,,,,COVERAGE,SAMTOOLS_DEPTH,samtools,1.21,4,8,1,1,5,백성용,
153,,,,,,,REPORTING,VIRUS_SUMMARY,python,-,1,1,0.1,1,1,백성용,
154,Small Genome Analysis,Small Genome Analysis,"Assembly (Bacteria,Fungi)",PacBio Revio,inhouse,1.0.0,DEMULTIPLEXING,DEMULTIPLEXING,lima,2.12.0,32,1,0.1,1,"20,000",류예지,GenomeSize 6Mb 기준
155,,,,PacBio Revio,,,,BAM_TO_FASTA,samtools,1.21,32,1,0.1,1,"3,000",류예지,
156,,,,PacBio Revio,,,,BAM_TO_FASTQ,samtools,1.21,32,1,0.1,1,"3,000",류예지,
157,,,,PacBio Revio,,,DE_NOVO_ASSEMBLY,ASSEMBLY,flye,2.9.5,64,8,1,1,"6,000",류예지,
158,,,,PacBio Revio,,,,,pbcromwell,2.0.3,64,1,3,1,"43,000",류예지,
159,,,,"PacBio Revio, illumina Novaseq",,,,,unicycler,0.5.1,64,1,24,1,50,류예지,
160,,,,PacBio Revio,,,,CIRCULIZATION,circulator,1.5.5,64,1,0.4,2,"5,000",류예지,
161,,,,PacBio Revio,,,,GENOME PLOT,circos,0.69.9,8,1,0.1,1,1,류예지,
162,,,,"PacBio Revio, illumina Novaseq",,,ASSESSMENT,BUSCO,busco,5.7.1,8,1,0.1,2,50,류예지,
163,,,,PacBio Revio,,,POLISHING,ERROR CORRECTION,pilon,1.24,64,20,0.4,1,"5,000",류예지,
164,,,,PacBio Revio,,,,,gatk,3.6,64,1,0.1,1,500,류예지,
165,,,,"PacBio Revio, illumina Novaseq",,,REPORTING,MAKE RESULT,python,-,32,1,1,1,"20,000",류예지,
166,,,,"PacBio Revio, illumina Novaseq",,,,MAKE REPORT,python,-,8,1,0.1,1,20,류예지,
167,,,"Annotation (Bacteria, Fungi)","PacBio Revio, illumina Novaseq",inhouse,1.0.0,ANNOTATION,GENE PREDICTION,prokka,1.14.6,64,1,0.1,1,110,류예지,
168,,,,"PacBio Revio, illumina Novaseq",,,,FUNCTIONAL ANNOTATION,diamond,2.1.11,64,8,0.4,1,800,류예지,
169,,,,"PacBio Revio, illumina Novaseq",,,,,blast2go,1.5.1,1,1,0.5,1,600,류예지,
170,,,,illumina Novaseq,,,MAPPING,GENOME COVERAGE,samtools,1.9,32,1,0.1,1,1,류예지,
171,,,,illumina Novaseq,,,,GENE ALIGNMENT,bwa,1.9,32,1,0.5,1,"5,000",류예지,
172,,,,PacBio Revio,,,,,minimap2,2.17,32,1,0.5,1,"10,000",류예지,
173,,,,"PacBio Revio, illumina Novaseq",,,REPORTING,MAKE RESULT,python,-,32,1,1,1,"20,000",류예지,
174,,,,"PacBio Revio, illumina Novaseq",,,,MAKE REPORT,python,-,8,1,0.1,1,20,류예지,
175,Microbiome,16S metagenome,16S rRNA metagenome (Illumina),Illumina Miseq,16S V3-V4 (inhouse),1.0.0,IMPORT DATA,IMPORT_QZA,qiime2,2024.5,32,1,0.1,1,"1,200",류예지,샘플당 평균 150Mb 생산
176,,,,,,,TRIMMING,TRIMMING,qiime2,2024.5,32,1,0.2,1,"3,000",류예지,
177,,,,,,,OTU CLUSTERING,OTU CLUSTERING,qiime2,2024.5,64,2,0.5,1,100,류예지,
178,,,,,,,,CHIMERA_REMOVAL,qiime2,2024.5,64,1,0.1,1,10,류예지,
179,,,,,,,,TAXONOMY_PROFILE,qiime2,2024.5,64,3,0.1,1,10,류예지,
180,,,,,,,,PHYLOGENY,qiime2,2024.5,64,1,0.2,1,10,류예지,
181,,,,,,,ASV CLUSTERING,ASV CLUSTERING,qiime2,2024.5,64,10,0.5,1,5,류예지,
182,,,,,,,,TAXONOMY_PROFILE,qiime2,2024.5,64,2,0.1,1,5,류예지,
183,,,,,,,,PHYLOGENY,qiime2,2024.5,64,1,0.2,1,15,류예지,
184,,,,,,,DIVERSITY,ACE DIVERSITY,qiime2,2024.5,64,1,0.1,1,5,류예지,
185,,,,,,,,ALPHA RAREFACTION,qiime2,2024.5,64,1,0.1,1,5,류예지,
186,,,,,,,,CHAO1 DIVERSITY,qiime2,2024.5,64,1,0.1,1,5,류예지,
187,,,,,,,,GOODS COVERAGE DIVERSITY,qiime2,2024.5,64,1,0.1,1,5,류예지,
188,,,,,,,,OBSERVED FEATURES DIVERSITY,qiime2,2024.5,64,1,0.1,1,5,류예지,
189,,,,,,,,SHANNON DIVERSITY,qiime2,2024.5,64,1,0.1,1,5,류예지,
190,,,,,,,,SIMPSON DIVERSITY,qiime2,2024.5,64,1,0.1,1,5,류예지,
191,,,,,,,,CORE DIVERSITY,qiime2,2024.5,64,1,0.1,1,50,류예지,
192,,,,,,,REPORTING,MAKE_DATA,python,-,32,1,0.1,1,"3,000",류예지,
193,,,,,,,,MAKE_REPORT,python,-,32,1,0.1,1,50,류예지,
194,,,16S rRNA metagenome (PacBio),PacBio Revio,16S full-length (inhouse),1.0.0,IMPORT DATA,IMPORT_QZA,qiime2,2024.5,32,1,1,1,"1,000",류예지,"샘플 당 평균 0.8~1Gb 생산 (최대 3Gb 가량 생산된 샘플도 존재, 샘플당 편차가 큼)"
195,,,,,,,TRIMMING,TRIMMING,qiime2,2024.5,32,1,0.5,1,"1,500",류예지,
196,,,,,,,OTU CLUSTERING,OTU CLUSTERING,qiime2,2024.5,64,36,6,1,"1,000",류예지,
197,,,,,,,,CHIMERA_REMOVAL,qiime2,2024.5,64,4,5,1,400,류예지,
198,,,,,,,,TAXONOMY_PROFILE,qiime2,2024.5,64,8,1,1,500,류예지,
199,,,,,,,,PHYLOGENY,qiime2,2024.5,64,128,48,1,"20,000",류예지,
200,,,,,,,ASV CLUSTERING,ASV CLUSTERING,qiime2,2024.5,64,60,50,1,10,류예지,
201,,,,,,,,TAXONOMY_PROFILE,qiime2,2024.5,64,4,1,1,20,류예지,
202,,,,,,,,PHYLOGENY,qiime2,2024.5,64,12,4,1,100,류예지,
203,,,,,,,DIVERSITY,ACE DIVERSITY,qiime2,2024.5,64,1,0.1,1,100,류예지,
204,,,,,,,,ALPHA RAREFACTION,qiime2,2024.5,64,1,0.2,1,100,류예지,
205,,,,,,,,CHAO1 DIVERSITY,qiime2,2024.5,64,1,0.1,1,100,류예지,
206,,,,,,,,GOODS COVERAGE DIVERSITY,qiime2,2024.5,64,1,0.1,1,100,류예지,
207,,,,,,,,OBSERVED FEATURES DIVERSITY,qiime2,2024.5,64,1,0.1,1,100,류예지,
208,,,,,,,,SHANNON DIVERSITY,qiime2,2024.5,64,1,0.1,1,100,류예지,
209,,,,,,,,SIMPSON DIVERSITY,qiime2,2024.5,64,1,0.1,1,100,류예지,
210,,,,,,,,CORE DIVERSITY,qiime2,2024.5,64,1,0.4,1,"1,500",류예지,
211,,,,,,,REPORTING,MAKE_DATA,python,-,32,1,0.1,1,"3,000",류예지,
212,,,,,,,,MAKE_REPORT,python,-,32,1,0.1,1,50,류예지,
213,,,Microbiome Consortium,PacBio Revio,inhouse,1.0.0,MAKE_DATASET,MERGE_REVIO_XML,smrtlink dataset,0.15.0,1,1,0.1,1,1,백성용,샘플 100개 기준
214,,,,,,,DEMULTIPLEXING,DEMULTIPLEXING,lima,2.12.0,32,5,1,1,"25,000",백성용,
215,,,,,,,TRIMMING,TRIMMING,cutadapt,4.6,1,1,0.1,1,"25,000",백성용,
216,,,,,,,QUALITY_CONTROL,QC_FILTERING,dada2,1.16,64,64,8,1,"25,000",백성용,
217,,shotgun metagenome,shotgun metagenome (PacBio),PacBio Revio,HiFi-MAG-Pipeline+inhouse,v3.3.2,FASTQ_QC,HOST_REMOVAL,minimap2,2.26,32,15,3,1,"99,000",류예지,최근 진행 샘플 기준 : 1샘플 생산량 86Gb
218,,,,,,,ASSEMBLY,ASSEMBLY,flye,2.9.5,64,160,240,1,"22,000",류예지,
219,,,,,,,MAPPING,MINIMAP_TO_BAM,minimap2,2.26,36,35,1,1,"20,000",류예지,
220,,,,,,,,BAMDEPTH,minimap2,2.26,36,1,0.1,1,"2,000",류예지,
221,,,,,,,,,metabat,2.15,36,1,0.1,1,1,류예지,
222,,,,,,,,CHECKM2_CONTIG_ANALYSIS,checkm2,1.0.2,36,18,0.2,1,"1,200",류예지,
223,,,,,,,BINNING,METABAT2,metabat,2.15,16,2,0.2,1,"1,000",류예지,
224,,,,,,,,SEMIBIN2,semibin,2.2.0,64,4,0.6,1,"1,000",류예지,
225,,,,,,,,DASTOOLS_ANALYSIS,dastool,1.1.7,36,3,0.4,1,"1,000",류예지,
226,,,,,,,,CHECKM2_BIN_ANALYSIS,checkm2,1.0.2,36,20,0.4,1,1,류예지,
227,,,,,,,TAXONOMY,GTDBTK_ANALYSIS,gtdbtk,2.4.0,64,12,1,1,1,류예지,
228,,,,,,,ANNOTATION,PROKKA,prokka,1.14.6,32,1,3,1,"4,900",류예지,
229,,,,,,,REPORTING,MAKE_RESULT,python,-,32,1,0.4,1,"60,000",류예지,
230,,,,,,,,MAKE_REPORT,quarto,1.8.26,8,1,0.1,1,60,류예지,
231,,,shotgun metagenome (Illumina),Illumina Novaseq,inhouse,1.0.0,FASTQ_QC,RAWDATA_QC,fastq,0.23.4,16,1,0.1,1,"20,000",류예지,샘플 당 평균 10Gb
