idx,직무(업무명),업무세부내역,Analysis_name,Platfom,Pipeline Name,Pipeline Version,Group,Step,tools,version,CPUs,MEM(G),TIME(hr),nTask(병렬),SIZE(MB),USER,비고,instance_type,instance_vcpu,instance_hourly_rate,compute_cost_usd,storage_cost_usd,total_cost_usd
17,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.1.0,Otholog Annotation,Parsing,python,3.6.8,1.0,0.1,0.1,1.0,20.0,김현승,"reference 3GB, GFF 300Mb 기준",c6i.large,2.0,0.085,0.0085,2.170138888888889e-07,0.00850021701388889
18,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.0.0,"Functional Analysis(GO, KEGG)","KEGG, Ontology Analysis",David,v2023q4,1.0,1.0,0.5,1.0,1.0,"김현승, 양요한",web 기반,c6i.large,2.0,0.085,0.0425,5.4253472222222225e-08,0.042500054253472225
19,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.0.0,Enrichment Analysis,"KEGG, Ontology Analysis",clusterprofiler,4.10.1,1.0,1.0,0.5,1.0,40.0,"김현승, 양요한",1개 조합 DEG,c6i.large,2.0,0.085,0.0425,2.170138888888889e-06,0.04250217013888889
20,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,QC,1.0.0,rRNA,rRNA ratio,ribopicker,0.4.3,1.0,8.0,3.0,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.xlarge,4.0,0.17,0.51,3.255208333333334e-07,0.5100003255208333
21,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,QC,1.0.0,gene body coverage,Align,STAR,2.7.1a,16.0,40.0,1.5,1.0,1800.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.8xlarge,32.0,1.36,2.04,0.00029296875,2.04029296875
22,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,QC,1.0.0,gene body coverage,Indexing,samtools,1.9-74-gf69e678,1.0,1.0,0.2,1.0,5.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.017,1.0850694444444445e-07,0.017000108506944445
23,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,QC,1.0.0,gene body coverage,Read distribution,python - module,5.0.4,10.0,6.0,8.0,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.4xlarge,16.0,0.68,5.44,8.680555555555556e-07,5.440000868055556
24,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,QC,1.0.0,gene body coverage,Gene body coverage,python - module,5.0.4,2.0,6.0,2.0,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.xlarge,4.0,0.17,0.34,2.170138888888889e-07,0.34000021701388894
25,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,Tophat_cufflink_DEG,1.0.0,Trimming,Adapter Trimming,Cutadapter,1.18,6.0,4.0,1.0,1.0,2500.0,"김현승, 양요한","기본 RNAseq 5Gb 기준, 기본 샘플 크기에 따라 변동",c6i.2xlarge,8.0,0.34,0.34,0.0002712673611111111,0.34027126736111113
26,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,Tophat_cufflink_DEG,1.0.0,Calculate insert size,Read sort,bowtie2,2.2.9,10.0,8.0,8.0,1.0,1.0,"김현승, 양요한","기본 RNAseq 5Gb 기준, 기본 샘플 크기에 따라 변동",c6i.4xlarge,16.0,0.68,5.44,8.680555555555556e-07,5.440000868055556
27,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,Tophat_cufflink_DEG,1.0.0,Calculate insert size,Mark Duplicate,picard-tools,1.118,10.0,8.0,1.0,1.0,3500.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.4xlarge,16.0,0.68,0.68,0.00037977430555555556,0.6803797743055556
28,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,Tophat_cufflink_DEG,1.0.0,Calculate insert size,Split'N'Trim,picard-tools,1.118,10.0,8.0,1.0,1.0,3500.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.4xlarge,16.0,0.68,0.68,0.00037977430555555556,0.6803797743055556
29,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,Tophat_cufflink_DEG,1.0.0,Calculate insert size,Calculate insert size,awk,4.0.2,1.0,0.1,0.1,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,1.0850694444444445e-08,0.008500010850694444
30,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,Tophat_cufflink_DEG,1.0.0,Align,Alignment,tophat,v2.1.1,10.0,12.0,7.0,1.0,5000.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.4xlarge,16.0,0.68,4.760000000000001,0.003797743055555556,4.763797743055556
31,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,Tophat_cufflink_DEG,1.0.0,Align,Mapping rate,awk,4.0.2,1.0,0.1,0.1,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,1.0850694444444445e-08,0.008500010850694444
32,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,Tophat_cufflink_DEG,1.0.0,Align,Estimate expression,cuffdiff,v2.2.1,10.0,64.0,8.0,1.0,170.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.8xlarge,32.0,1.36,10.88,0.00014756944444444445,10.880147569444444
33,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,Tophat_cufflink_DEG,1.0.0,Align,Merge expression tables,python,3.6.8,1.0,1.0,0.1,1.0,5.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,5.4253472222222225e-08,0.008500054253472222
34,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,Tophat_cufflink_DEG,1.0.0,DEG,DE analysis,cuffdiff,2.7.5,32.0,50.0,6.0,1.0,10.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.8xlarge,32.0,1.36,8.16,6.510416666666667e-06,8.160006510416666
35,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,Tophat_cufflink_DEG,1.0.0,Report,Visualization,R,4.0.5,1.0,1.0,0.1,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,1.0850694444444445e-08,0.008500010850694444
36,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,Tophat_cufflink_DEG,1.0.0,Report,Knitting Report,R,4.0.5,1.0,1.0,0.1,1.0,2.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,2.170138888888889e-08,0.00850002170138889
37,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.1.0,Otholog Annotation,Make protein DB,diamond,2.1.11,1.0,8.0,1.0,1.0,30.0,김현승,"reference 3GB, GFF 300Mb 기준",c6i.xlarge,4.0,0.17,0.17,3.2552083333333335e-06,0.17000325520833334
38,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.1.0,Otholog Annotation,Match DB with transcript,diamond,2.1.11,64.0,60.0,1.0,1.0,20.0,김현승,"reference 3GB, GFF 300Mb 기준",c6i.16xlarge,64.0,2.72,2.72,2.170138888888889e-06,2.7200021701388892
39,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.1.0,Otholog Annotation,Parsing,python,3.6.8,1.0,0.1,0.1,1.0,20.0,김현승,"reference 3GB, GFF 300Mb 기준",c6i.large,2.0,0.085,0.0085,2.170138888888889e-07,0.00850021701388889
40,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.0.0,"Functional Analysis(GO, KEGG)","KEGG, Ontology Analysis",David,v2023q4,1.0,1.0,0.5,1.0,1.0,"김현승, 양요한",web 기반,c6i.large,2.0,0.085,0.0425,5.4253472222222225e-08,0.042500054253472225
41,Short RNA Sequencing,기본분석,RNASeq_BAM_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.0.0,Enrichment Analysis,"KEGG, Ontology Analysis",clusterprofiler,4.10.1,1.0,1.0,0.5,1.0,40.0,"김현승, 양요한",1개 조합 DEG,c6i.large,2.0,0.085,0.0425,2.170138888888889e-06,0.04250217013888889
42,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,QC,1.0.0,rRNA,rRNA ratio,ribopicker,0.4.3,1.0,8.0,3.0,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.xlarge,4.0,0.17,0.51,3.255208333333334e-07,0.5100003255208333
43,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,QC,1.0.0,gene body coverage,Align,STAR,2.7.1a,16.0,40.0,1.5,1.0,1800.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.8xlarge,32.0,1.36,2.04,0.00029296875,2.04029296875
44,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,QC,1.0.0,gene body coverage,Indexing,samtools,1.9-74-gf69e678,1.0,1.0,0.2,1.0,5.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.017,1.0850694444444445e-07,0.017000108506944445
45,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,QC,1.0.0,gene body coverage,Read distribution,python - module,5.0.4,10.0,6.0,8.0,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.4xlarge,16.0,0.68,5.44,8.680555555555556e-07,5.440000868055556
46,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,QC,1.0.0,gene body coverage,Gene body coverage,python - module,5.0.4,2.0,6.0,2.0,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.xlarge,4.0,0.17,0.34,2.170138888888889e-07,0.34000021701388894
47,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Denovo Transcriptome Assembly,1.0.0,Denovo Transcriptome Assembly,Assembly,Trinity(assembly),2.14.0,72.0,200.0,6.0,1.0,2000.0,"김현승, 양요한","기본 RNAseq 5Gb, 6샘플 이상, transcript.fasta 약 10만개 transcript 검출 기준",c6i.24xlarge,96.0,4.08,24.48,0.0013020833333333335,24.481302083333333
48,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Denovo Transcriptome Assembly,1.0.0,Denovo Transcriptome Assembly,Rduce redundants,Trinity,2.14.0,1.0,4.0,0.5,1.0,300.0,"김현승, 양요한",transcript.fasta 약 10만개 transcript 검출 기준,c6i.large,2.0,0.085,0.0425,1.6276041666666666e-05,0.04251627604166667
49,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Denovo Transcriptome Assembly,1.0.0,Report,Knitting Report,R,4.0.5,1.0,1.0,0.1,1.0,2.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,2.170138888888889e-08,0.00850002170138889
50,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Denovo Transcriptome Assembly,1.0.0,Annotation(Blast),Annotation(Blast),diamond-blast,2.1.11,64.0,64.0,0.5,1.0,4000.0,"김현승, 양요한",transcript.fasta 약 10만개 transcript 검출 기준,c6i.16xlarge,64.0,2.72,1.36,0.0002170138888888889,1.360217013888889
51,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Denovo Transcriptome Assembly,1.0.0,Annotation(Blast),Annotation(Blast),blast2GO,1.5.1,1.0,64.0,3.0,1.0,500.0,"김현승, 양요한",transcript.fasta 약 10만개 transcript 검출 기준,c6i.8xlarge,32.0,1.36,4.08,0.00016276041666666668,4.080162760416667
52,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Denovo Transcriptome Assembly,1.0.0,Annotation(Blast),Annotation parsing,python,3.6.8,1.0,0.1,0.1,1.0,50.0,"김현승, 양요한",transcript.fasta 약 10만개 transcript 검출 기준,c6i.large,2.0,0.085,0.0085,5.425347222222222e-07,0.008500542534722223
53,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Rawdata Prepare,Decompress,zcat,1.9,2.0,8.0,0.1,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.xlarge,4.0,0.17,0.017,1.0850694444444445e-08,0.017000010850694445
54,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Reference Prepare,Reference Prepare,gffread,0.12.7,1.0,3.0,0.1,1.0,300.0,"김현승, 양요한","reference 3GB, GFF 300Mb 기준",c6i.large,2.0,0.085,0.0085,3.2552083333333335e-06,0.008503255208333334
55,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Reference Prepare,Annotation parsing,python,3.6.8,1.0,1.0,0.1,1.0,10.0,"김현승, 양요한","reference 3GB, GFF 300Mb 기준",c6i.large,2.0,0.085,0.0085,1.0850694444444445e-07,0.008500108506944446
56,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Expression,Alignment,kallisto,2.14.0,4.0,8.0,0.3,1.0,20.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.xlarge,4.0,0.17,0.051000000000000004,6.510416666666668e-07,0.05100065104166667
57,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Expression,Merge,R,4.0.5,1.0,1.0,0.1,1.0,100.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,1.0850694444444444e-06,0.008501085069444445
58,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,DEG,DE analysis,edgeR,3.22,1.0,1.0,0.1,1.0,10.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,1.0850694444444445e-07,0.008500108506944446
59,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,DEG,cutoff,perl,v5.16.3,1.0,1.0,0.1,1.0,10.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,1.0850694444444445e-07,0.008500108506944446
60,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Report,Visualization,R,4.0.5,1.0,1.0,0.1,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,1.0850694444444445e-08,0.008500010850694444
61,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Report,Knitting Report,R,4.0.5,1.0,1.0,0.1,1.0,2.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,2.170138888888889e-08,0.00850002170138889
62,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.1.0,Otholog Annotation,Make protein DB,diamond,2.1.11,1.0,8.0,1.0,1.0,30.0,김현승,"reference 3GB, GFF 300Mb 기준",c6i.xlarge,4.0,0.17,0.17,3.2552083333333335e-06,0.17000325520833334
63,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.1.0,Otholog Annotation,Match DB with transcript,diamond,2.1.11,64.0,60.0,1.0,1.0,20.0,김현승,"reference 3GB, GFF 300Mb 기준",c6i.16xlarge,64.0,2.72,2.72,2.170138888888889e-06,2.7200021701388892
64,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.1.0,Otholog Annotation,Parsing,python,3.6.8,1.0,0.1,0.1,1.0,20.0,김현승,"reference 3GB, GFF 300Mb 기준",c6i.large,2.0,0.085,0.0085,2.170138888888889e-07,0.00850021701388889
65,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.0.0,"Functional Analysis(GO, KEGG)","KEGG, Ontology Analysis",David,v2023q4,1.0,1.0,0.5,1.0,1.0,"김현승, 양요한",web 기반,c6i.large,2.0,0.085,0.0425,5.4253472222222225e-08,0.042500054253472225
66,Short RNA Sequencing,기본분석,RNASeq_noREF_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.0.0,Enrichment Analysis,"KEGG, Ontology Analysis",clusterprofiler,4.10.1,1.0,1.0,0.5,1.0,40.0,"김현승, 양요한",1개 조합 DEG,c6i.large,2.0,0.085,0.0425,2.170138888888889e-06,0.04250217013888889
67,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,Reference indexing,reference dictionary,GATK,4.5.0.0,1.0,4.0,0.01,1.0,122.0,양요한,WTS 7Gb 크기 기준,c6i.large,2.0,0.085,0.0008500000000000001,1.3237847222222223e-07,0.0008501323784722223
68,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,Reference indexing,fasta indexing,samtools,1.21,1.0,4.0,0.01,1.0,122.0,양요한,WTS 7Gb 크기 기준,c6i.large,2.0,0.085,0.0008500000000000001,1.3237847222222223e-07,0.0008501323784722223
69,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,Reference indexing,gtfToCallingIntervals,GATK,4.5.0.0,1.0,4.0,0.01,1.0,3.0,양요한,WTS 7Gb 크기 기준,c6i.large,2.0,0.085,0.0008500000000000001,3.2552083333333333e-09,0.0008500032552083334
70,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,Reference indexing,StarGenerateReferences,STAR,2.5.3a,8.0,32.0,0.8,1.0,1690.0,양요한,WTS 7Gb 크기 기준,c6i.4xlarge,16.0,0.68,0.544,0.0001467013888888889,0.5441467013888889
71,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,Reference indexing,RsemGenerateReferences,RSEM,1.3.1,8.0,32.0,0.2,1.0,1690.0,양요한,WTS 7Gb 크기 기준,c6i.4xlarge,16.0,0.68,0.136,3.6675347222222224e-05,0.13603667534722222
72,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,QC,splfq1,awk,,1.0,4.0,0.01,1.0,30.0,양요한,WTS 7Gb 크기 기준,c6i.large,2.0,0.085,0.0008500000000000001,3.2552083333333335e-08,0.0008500325520833334
73,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,QC,ribopicker_1,bwa,0.5.9-r16,8.0,32.0,0.5,1.0,6450.0,양요한,WTS 7Gb 크기 기준,c6i.4xlarge,16.0,0.68,0.34,0.00034993489583333334,0.3403499348958334
74,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,Alignment,StarAlign,STAR,2.5.3a,8.0,32.0,1.0,1.0,40.0,양요한,WTS 7Gb 크기 기준,c6i.4xlarge,16.0,0.68,0.68,4.340277777777778e-06,0.6800043402777778
75,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,Abundance Estimation,rsem_exp,RSEM,1.3.1,8.0,32.0,0.4,1.0,40.0,양요한,WTS 7Gb 크기 기준,c6i.4xlarge,16.0,0.68,0.272,1.7361111111111112e-06,0.2720017361111111
76,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,VariantCall,FixMateInformation,GATK,4.5.0.0,8.0,32.0,0.1,1.0,1690.0,양요한,WTS 7Gb 크기 기준,c6i.4xlarge,16.0,0.68,0.068,1.8337673611111112e-05,0.06801833767361111
77,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,VariantCall,AddOrReplaceReadGroups,GATK,4.5.0.0,8.0,32.0,0.1,1.0,1750.0,양요한,WTS 7Gb 크기 기준,c6i.4xlarge,16.0,0.68,0.068,1.8988715277777778e-05,0.06801898871527778
78,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,VariantCall,SetNmMdAndUqTags,GATK,4.5.0.0,8.0,32.0,0.1,1.0,1690.0,양요한,WTS 7Gb 크기 기준,c6i.4xlarge,16.0,0.68,0.068,1.8337673611111112e-05,0.06801833767361111
79,Short RNA Sequencing,심화분석,RNASeq_DEG_AS_SNP,Illumina NovaSeq,RNASeq통합분석,1.0.0,VariantCall,FilterReads,GATK,4.5.0.0,8.0,32.0,0.1,1.0,1690.0,양요한,WTS 7Gb 크기 기준,c6i.4xlarge,16.0,0.68,0.068,1.8337673611111112e-05,0.06801833767361111
